image_path,site_id,task_label,v1_label,v2_label,split,is_valid
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/5.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/4.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/3.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/2.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/1.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Parking lights 6/6.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stickers 2/20250314_043410130_iOS.heic,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stickers 2/20250314_043328429_iOS.heic,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162331664_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162323444_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131615990_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131542049_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131620003_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131633649_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_163109601_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162306070_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_172317105_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162341265_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162316985_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131559553_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_162350282_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Pressure wash 17/20250318_131550369_iOS.heic,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/March log/20250423_012628288_iOS 1.heic,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/March log/20250423_012641270_iOS.heic,WAIPIO,General Cleaning,Other,Unlabeled,train,True
